algo;size;random;order;rng;time
merge;100000;0.0;f;f;0.023510000000000003
selection;100000;1.0;t;t;8.2391
merge;100;1.0;t;t;0.00227
bubble;10000;0.8;f;f;0.50588
cartesiantree;10000;0.0;t;f;0.0052
insertion;10;1.0;t;f;0.0016699999999999998
bubble;100000;0.8;f;t;48.06767
cartesiantree;10;0.95;t;f;0.00222
heap;1000000;0.0;f;f;0.31054000000000004
heap;10;0.0;f;f;0.0020800000000000003
cartesiantree;10;1.0;f;t;0.00218
selection;1000;0.0;t;t;0.00383
insertion;100;1.0;f;t;0.00217
merge;100;0.95;t;f;0.00186
quick;10000;0.8;t;f;0.00398
selection;1000000;1.0;t;f;1027.32569
bubble;10000;0.8;f;t;0.37945
quick;10;0.8;f;f;0.00221
insertion;1000000;1.0;t;f;0.04372
quick;100000;0.95;t;f;0.02216
cartesiantree;10000;1.0;t;t;0.00311
heap;1000;1.0;t;t;0.00264
selection;10000;1.0;f;t;0.07948999999999999
merge;10;0.8;f;t;0.00228
cartesiantree;100000;0.8;t;t;0.03504
cartesiantree;1000;0.0;f;t;0.0023599999999999997
bubble;1000000;1.0;f;f;3696.48056
cartesiantree;10;1.0;t;f;0.0019399999999999999
cartesiantree;100000;0.0;t;t;0.0507
insertion;1000;1.0;f;f;0.00282
cartesiantree;100;0.0;f;t;0.00212
cartesiantree;10000;0.95;t;f;0.00445
merge;100000;0.0;t;t;0.022
bubble;10;0.0;f;f;0.00239
quick;100;0.8;f;t;0.0022299999999999998
cartesiantree;10000;0.0;f;f;0.0057599999999999995
quick;10;0.8;t;f;0.00229
quick;100000;0.0;f;t;0.0184
bubble;100000;1.0;t;f;0.00634
insertion;1000000;0.0;t;f;574.4846
insertion;1000000;1.0;f;f;932.35586
quick;1000000;1.0;t;t;1630.08423
selection;10;0.0;t;f;0.00216
bubble;1000000;0.8;t;t;1845.32633
bubble;10;0.8;t;f;0.0023
heap;1000000;1.0;f;f;0.16654
bubble;10000;0.0;t;f;0.6006900000000001
